Repo,URL,File,Line,Type,Description
"benevidesjohns/learning-nodejs","https://github.com/benevidesjohns/learning-nodejs.git","knexfile.js",24,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"benevidesjohns/learning-nodejs","https://github.com/benevidesjohns/learning-nodejs.git","knexfile.js",40,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"karenalmeida18/SistemaPPgSI-Backend","https://github.com/karenalmeida18/SistemaPPgSI-Backend.git","src/server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"karenalmeida18/SistemaPPgSI-Backend","https://github.com/karenalmeida18/SistemaPPgSI-Backend.git","src/config/auth.js",2,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"guilhermeMRC/gestor-tcc-backend-api","https://github.com/guilhermeMRC/gestor-tcc-backend-api.git","src/config/middlewares.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"bpimentacaetano/TFG","https://github.com/bpimentacaetano/TFG.git","server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"bpimentacaetano/TFG","https://github.com/bpimentacaetano/TFG.git","APP_Visualizacao/server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"bpimentacaetano/TFG","https://github.com/bpimentacaetano/TFG.git","API/server.js",42,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"giovanafelisbino/pizzaria-typescript-final","https://github.com/giovanafelisbino/pizzaria-typescript-final.git","src/server.ts",23,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"giovanafelisbino/pizzaria-typescript-final","https://github.com/giovanafelisbino/pizzaria-typescript-final.git","src/database/database.ts",11,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"kakahimita/PetResgate","https://github.com/kakahimita/PetResgate.git","serverMongoDB.js",23,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"kakahimita/PetResgate","https://github.com/kakahimita/PetResgate.git","api/index.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Ptoniello/monitoramento_Faculdade","https://github.com/Ptoniello/monitoramento_Faculdade.git","server.js",107,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"DrLiTH7/coffee-shop-API-fac-project","https://github.com/DrLiTH7/coffee-shop-API-fac-project.git","src/conexao.js",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Guardians-DSC/horarios-ufcg-api","https://github.com/Guardians-DSC/horarios-ufcg-api.git","src/index.js",10,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"mauriliosfc/stock-api","https://github.com/mauriliosfc/stock-api.git","config/config.js",4,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"mauriliosfc/stock-api","https://github.com/mauriliosfc/stock-api.git","src/config/db.js",5,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"mauriliosfc/stock-api","https://github.com/mauriliosfc/stock-api.git","src/middlewares/globals/commons.js",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
