Repo,URL,File,Line,Type,Description
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/app/auth/auth0.strategy.ts,14,HARDCODED_SECRET,Potential hardcoded secret in property: tokenURL
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/app/auth/auth0.strategy.ts,16,HARDCODED_SECRET,Potential hardcoded secret in property: clientSecret
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/app/repositories/datasource.provider.ts,12,HARDCODED_SECRET,Potential hardcoded secret in property: password
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/app/repositories/datasource.provider.ts,15,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
hedonvictor/PostosMervil,https://github.com/hedonvictor/PostosMervil.git,src/server/Server.ts,11,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
elena-calcada/agrotec-api,https://github.com/elena-calcada/agrotec-api.git,src/shared/infra/http/app.ts,21,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Brun0Nasc/ifce-achados,https://github.com/Brun0Nasc/ifce-achados.git,src/app.ts,13,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
oliveiramatheux/tcc-escambooks-api,https://github.com/oliveiramatheux/tcc-escambooks-api.git,src/server.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
unir-dacc/mural-de-fotos-backend,https://github.com/unir-dacc/mural-de-fotos-backend.git,src/main.ts,18,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Mathesis-dev/mathesis-backend,https://github.com/Mathesis-dev/mathesis-backend.git,prisma/seed/implementations/user.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: password
