Nome,URL,Stars,Framework,Descricao
LaysaPinho/Check-list,https://github.com/LaysaPinho/Check-list.git,1,Backend Detectado (express),"Criação de um projeto para compor a nota na disciplina de Tecnologias da Internet."
Druitti/Plano-de-Gerenciamento-de-Configura-o,https://github.com/Druitti/Plano-de-Gerenciamento-de-Configura-o.git,1,Backend Detectado (express),"Este trabalho prático tem como objetivo consolidar e aplicar os conceitos teóricos abordados na disciplina de Gerência de Configuração e Evolução de Software  bem como os conhecimentos adquiridos ao longo de formação acadêmica dos envolvidos"
paulo-campos-57/CloudIA,https://github.com/paulo-campos-57/CloudIA.git,4,Backend Detectado (express),"Repositório destinado ao projeto 'CloudIA'  da disciplina de Cloud  7° Período  CESAR School"
paulo-campos-57/backend-pong,https://github.com/paulo-campos-57/backend-pong.git,2,Backend Detectado (express),"Repositório destinado à disciplina de FrontEnd  7° Período  CESAR School"
EduardoSilvaS/Encurtador-de-link,https://github.com/EduardoSilvaS/Encurtador-de-link.git,1,Backend Detectado (express),"Trabalho universitário feito em equipe da disciplina de Computação em Nuvem  utilizando conceitos de rede  VM's e Vagrant"
hsmazur/hugoMazur-Taberna-4Bimestre,https://github.com/hsmazur/hugoMazur-Taberna-4Bimestre.git,1,Backend Detectado (express),"Projeto de Desenvolvimento Web - 4º Bimestre"
lucasfoschini/PROJETO-DESENVOLVIMENTO-WEB-NODE-EXPRESS-REST,https://github.com/lucasfoschini/PROJETO-DESENVOLVIMENTO-WEB-NODE-EXPRESS-REST.git,1,Backend Detectado (express),""
romanticbat/To-Do-List,https://github.com/romanticbat/To-Do-List.git,1,Backend Detectado (express),"📝Projeto desenvolvido para praticar e demonstrar conceitos de desenvolvimento web  integrando frontend e backend em uma aplicação simples e funcional.  A proposta é oferecer uma interface intuitiva onde o usuário pode criar  editar e remover tarefas do dia a dia  marcando-as como concluídas ou pendentes."
AJT-Devs/backend-genericfilms,https://github.com/AJT-Devs/backend-genericfilms.git,1,Backend Detectado (express),"Backend do projeto Generic Films - Desenvolvimento Web 2 IFSP"
wab030/av1cmpdwe2,https://github.com/wab030/av1cmpdwe2.git,2,Backend Detectado (express),"Repositório da avaliação 1 da disciplina Desenvolvimento Web 2. Esse repositório já está preparado para correção automatizada da entrega dos alunos. "
hsmazur/hugoMazur-Taberna-3Bimestre,https://github.com/hsmazur/hugoMazur-Taberna-3Bimestre.git,1,Backend Detectado (express),"Projeto de Desenvolvimento Web - 3º Bimestre"
pinkiepieisa/Sistema-completo-handlebars,https://github.com/pinkiepieisa/Sistema-completo-handlebars.git,1,Backend Detectado (express),"Repositório feito para expor meu projeto particular para a atividade do dia 19/09 para a matéria de desenvolvimento web 3."
pinkiepieisa/Estruturas-Node.js,https://github.com/pinkiepieisa/Estruturas-Node.js.git,1,Backend Detectado (express),"Repositório feito para expor o projeto da aula 06 da matéria de Desenvolvimento Web 3."
pinkiepieisa/Estrutura-Node.js,https://github.com/pinkiepieisa/Estrutura-Node.js.git,1,Backend Detectado (express),"Repositório feito para expor o projeto das aulas 05 e 06 de Desenvolvimento Web 3."
pinkiepieisa/Tasklist-Node.js,https://github.com/pinkiepieisa/Tasklist-Node.js.git,1,Backend Detectado (express),"Repositório para a reprodução da atividade 'Lista de Tarefas' da aula de Desenvolvimento web 3."
sdsdsdsdsdsihdkjsdjl/cursoride2api,https://github.com/sdsdsdsdsdsihdkjsdjl/cursoride2api.git,1,Backend Detectado (express),"Convert Cursor IDE Agent API to an OpenAI-compatible proxy with SSE streaming  token rotation  and zero database setup"
